# Years,Prey,Predators
0.00,1000,100
0.25,1140,100
0.50,1297,101
0.75,1471,103
1.00,1666,105
1.25,1882,108
1.50,2121,111
1.75,2383,115
2.00,2669,120
2.25,2978,125
2.50,3308,130
2.75,3657,136
3.00,4021,142
3.25,4394,149
3.50,4771,157
3.75,5145,165
4.00,5508,173
4.25,5856,182
4.50,6181,191
4.75,6479,201
5.00,6746,212
5.25,6981,223
5.50,7183,234
5.75,7351,246
6.00,7488,258
6.25,7594,271
6.50,7673,284
6.75,7726,297
7.00,7756,311
7.25,7765,325
7.50,7756,339
7.75,7731,353
8.00,7691,368
8.25,7639,382
8.50,7575,396
8.75,7501,411
9.00,7419,425
9.25,7328,438
9.50,7231,451
9.75,7128,464
10.00,7020,476
10.25,6907,488
10.50,6791,498
10.75,6671,508
11.00,6549,517
11.25,6425,526
11.50,6301,533
11.75,6176,539
12.00,6050,544
12.25,5926,548
12.50,5803,551
12.75,5682,553
13.00,5563,554
13.25,5447,555
13.50,5334,554
13.75,5225,552
14.00,5121,550
14.25,5021,547
14.50,4926,543
14.75,4836,539
15.00,4752,534
15.25,4673,529
15.50,4601,524
15.75,4534,519
16.00,4473,513
16.25,4419,507
16.50,4370,502
16.75,4328,496
17.00,4292,491
17.25,4261,485
17.50,4236,480
17.75,4217,476
18.00,4203,471
18.25,4194,467
18.50,4189,463
18.75,4190,459
19.00,4195,456
19.25,4203,453
19.50,4216,450
19.75,4232,448
20.00,4251,446
20.25,4272,444
20.50,4296,443
20.75,4322,442
21.00,4350,441
21.25,4379,441
21.50,4409,441
21.75,4440,441
22.00,4472,441
22.25,4503,441
22.50,4534,442
22.75,4565,443
23.00,4595,444
23.25,4624,445
23.50,4652,446
23.75,4679,448
24.00,4704,449
24.25,4728,451
24.50,4749,452
24.75,4769,454
25.00,4787,455
25.25,4803,457
25.50,4817,459
25.75,4829,460
26.00,4839,462
26.25,4847,464
26.50,4854,465
26.75,4858,467
27.00,4861,468
27.25,4861,469
27.50,4861,470
27.75,4859,472
28.00,4855,473
28.25,4850,474
28.50,4845,474
28.75,4838,475
29.00,4830,476
29.25,4822,476
29.50,4813,477
29.75,4803,477
30.00,4793,477
30.25,4783,477
30.50,4772,478
30.75,4762,478
31.00,4751,477
31.25,4741,477
31.50,4731,477
31.75,4721,477
32.00,4712,476
32.25,4702,476
32.50,4694,476
32.75,4685,475
33.00,4678,475
33.25,4671,474
33.50,4664,474
33.75,4658,473
34.00,4653,472
34.25,4648,472
34.50,4644,471
34.75,4641,471
35.00,4638,470
35.25,4636,470
35.50,4634,469
35.75,4633,469
36.00,4632,468
36.25,4632,468
36.50,4633,468
36.75,4634,467
37.00,4635,467
37.25,4637,467
37.50,4639,467
37.75,4641,466
38.00,4643,466
38.25,4646,466
38.50,4649,466
38.75,4652,466
39.00,4655,466
39.25,4658,466
39.50,4662,466
39.75,4665,466
40.00,4668,466
40.25,4672,466
40.50,4675,466
40.75,4678,466
41.00,4681,466
41.25,4684,466
41.50,4686,467
41.75,4689,467
42.00,4691,467
42.25,4693,467
42.50,4695,467
42.75,4697,467
43.00,4698,468
43.25,4700,468
43.50,4701,468
43.75,4702,468
44.00,4703,468
44.25,4703,468
44.50,4704,469
44.75,4704,469
45.00,4704,469
45.25,4704,469
45.50,4703,469
45.75,4703,469
46.00,4703,469
46.25,4702,469
46.50,4701,469
46.75,4700,469
47.00,4700,469
47.25,4699,469
47.50,4698,470
47.75,4697,470
48.00,4696,470
48.25,4695,470
48.50,4694,470
48.75,4692,470
49.00,4691,470
49.25,4690,469
49.50,4689,469
49.75,4688,469
50.00,4688,469
50.25,4687,469
50.50,4686,469
